LASID,Graduation Year,IBAssessmentID,Raw mark,Moderated mark,Scaled mark,Component grade
20120010,2012,ENGLHL1,,11,11,4
20120010,2012,ENGLHL2,,20,20,7
20120010,2012,ENGLHLIA,21,19,19,5
20120010,2012,ENGLHLWRI,,26,13,5
20120010,2012,HISTHL1,,13,10.4,5
20120010,2012,HISTHL2,,14,8.75,4
20120010,2012,HISTHL3,,23,13.409,4
20120010,2012,HISTHLIA,18,15,12,5
20120010,2012,MATHSL1,,85,37.74,7
20120010,2012,MATHSL2,,62,27.528,6
20120010,2012,MATHSLPRT,20,21,10.5,4
20120010,2012,PHYSSL2,,25,16,5
20120010,2012,PHYSSL3,,24,14.4,6
20120010,2012,PHYSSLMCQ,,13,8.97,3
20120010,2012,PHYSSLPRA,26,15,7.5,2
20120010,2012,PSYCHL1,,21,15.981,5
20120010,2012,PSYCHL2,,13,7.384,3
20120010,2012,PSYCHL3,,10,6.67,4
20120010,2012,PSYCHLIA,17,12,8.568,4
20120010,2012,SPANSL1,,21,21,4
20120010,2012,SPANSL2,,23,23,6
20120010,2012,SPANSLIA,27,26,26,6
20120010,2012,THEOTKPRES,17,17,17,B
20120010,2012,THEOTKPT,,30,30,A
20120013,2012,BIOLHL2,,43,21.5,5
20120013,2012,BIOLHL3,,25,12.5,5
20120013,2012,BIOLHLMCQ,,33,16.5,6
20120013,2012,BIOLHLPRA,46,34,17,6
20120013,2012,ENGLSL1,,15,15,5
20120013,2012,ENGLSL2,,19,19,6
20120013,2012,ENGLSLIA,26,25,25,7
20120013,2012,ENGLSLWRI,,12,12,5
20120013,2012,GERMSL1,,16,16,3
20120013,2012,GERMSL2,,22,22,6
20120013,2012,GERMSLIA,22,18,18,5
20120013,2012,HISTHL1,,10,8,4
20120013,2012,HISTHL2,,16,10,4
20120013,2012,HISTHL3,,33,19.239,6
20120013,2012,HISTHLIA,19,15,12,5
20120013,2012,MATHSL1,,68,30.192,6
20120013,2012,MATHSL2,,40,17.76,4
20120013,2012,MATHSLPRT,24,24,12,5
20120013,2012,PSYCHL1,,24,18.264,5
20120013,2012,PSYCHL2,,14,7.952,4
20120013,2012,PSYCHL3,,6,4.002,3
20120013,2012,PSYCHLIA,17,12,8.568,4
20120013,2012,THEOTKPRES,18,18,18,B
20120013,2012,THEOTKPT,,26,26,B
20120067,2012,BIOLHL2,,49,24.5,6
20120067,2012,BIOLHL3,,33,16.5,7
20120067,2012,BIOLHLMCQ,,30,15,5
20120067,2012,BIOLHLPRA,43,32,16,5
20120067,2012,ENGLSL1,,15,15,5
20120067,2012,ENGLSL2,,19,19,6
