LASID,IBSubjectID,Category,Predicted grade,Grade,Scaled Total
20208391,CHEMSL,ANTICIPATED,2,2,17
20206407,CHEMSL,ANTICIPATED,3,4,43
20206227,CHEMSL,ANTICIPATED,3,3,33
20205333,CHEMSL,ANTICIPATED,3,3,39
20201551,CHEMSL,ANTICIPATED,3,2,27
20201543,CHEMSL,ANTICIPATED,0,0,
20201479,CHEMSL,ANTICIPATED,3,2,27
20201425,CHEMSL,ANTICIPATED,5,5,60
20201241,CHEMSL,ANTICIPATED,3,3,40
20201109,CHEMSL,ANTICIPATED,4,3,31
20196333,CHEMSL,ANTICIPATED,3,2,27
20196333,MATHSL,DIPLOMA,3,3,32
20196333,PSYCHL,DIPLOMA,4,4,39
20196333,HISTHL,DIPLOMA,4,4,47
20196333,FRENSL,DIPLOMA,5,4,51
20196333,ENGLHL,DIPLOMA,5,6,69
20195145,CHEMSL,ANTICIPATED,3,2,27
20195145,MATHSL,DIPLOMA,3,3,29
20195145,HISTHL,DIPLOMA,4,3,32
20195145,PSYCHL,DIPLOMA,5,4,36
20195145,ENGLHL,DIPLOMA,5,5,59
20195145,FRENSL,DIPLOMA,6,5,60
20195043,CHEMSL,ANTICIPATED,3,2,27
20195043,MATHSL,DIPLOMA,3,3,34
20195043,PSYCHL,DIPLOMA,4,4,47
20195043,HISTHL,DIPLOMA,5,5,52
20195043,ENGLHL,DIPLOMA,5,5,65
20195043,SPANSL,DIPLOMA,6,6,82
20194076,CHEMSL,ANTICIPATED,4,4,48
20194076,MATHSL,DIPLOMA,4,4,49
20194076,PSYCHL,DIPLOMA,6,5,58
20194076,ENGLHL,DIPLOMA,5,5,63
20194076,HISTHL,DIPLOMA,5,6,66
20194076,SPANSL,DIPLOMA,6,6,79
20193143,CHEMSL,ANTICIPATED,3,3,34
20193143,MATHSL,DIPLOMA,3,4,42
20193143,HISTHL,DIPLOMA,4,4,43
20193143,PSYCHL,DIPLOMA,5,4,46
20193143,SPANSL,DIPLOMA,3,5,59
20193143,ENGLHL,DIPLOMA,4,5,66
20190764,CHEMSL,ANTICIPATED,3,4,41
20190764,PSYCHL,DIPLOMA,5,4,44
20190764,HISTHL,DIPLOMA,6,5,56
20190764,MATHSL,DIPLOMA,5,6,65
20190764,SPANSL,DIPLOMA,5,6,73
20190764,ENGLHL,DIPLOMA,7,7,84
20190736,HISTHL,DIPLOMA,6,5,52
20190736,PSYCHL,DIPLOMA,5,5,54
20190736,PHYSSL,DIPLOMA,5,6,54
20190736,ENGLHL,DIPLOMA,6,6,69
20190736,MATHSL,DIPLOMA,6,6,72
20190736,SPANSL,DIPLOMA,6,7,88
20190734,CHEMSL,ANTICIPATED,4,4,44
20190734,PSYCHL,DIPLOMA,5,4,44
20190734,FRENSL,DIPLOMA,5,4,50
20190734,HISTHL,DIPLOMA,5,6,62
20190734,MATHSL,DIPLOMA,5,6,67
20190734,ENGLHL,DIPLOMA,6,6,70
20187528,CHEMSL,ANTICIPATED,4,3,35
20187528,PSYCHL,DIPLOMA,5,4,41
20187528,MATHSL,DIPLOMA,4,4,45
20187528,HISTHL,DIPLOMA,4,6,63
20187528,SPANSL,DIPLOMA,5,6,72
20187528,ENGLHL,DIPLOMA,5,6,77
20187517,CHEMSL,ANTICIPATED,4,4,41
20187517,MATHSL,DIPLOMA,4,4,48
20187517,PSYCHL,DIPLOMA,6,6,55
20187517,HISTHL,DIPLOMA,5,5,61
20187517,SPANSL,DIPLOMA,6,6,76
20187517,ENGLHL,DIPLOMA,7,7,84
20187512,CHEMSL,ANTICIPATED,4,4,42
20187512,PSYCHL,DIPLOMA,5,5,48
20187512,MATHSL,DIPLOMA,5,5,59
20187512,HISTHL,DIPLOMA,4,5,60
20187512,ENGLHL,DIPLOMA,5,5,64
20187512,SPANSL,DIPLOMA,5,6,73
20187505,PHYSSL,DIPLOMA,2,2,17
20187505,PSYCHL,DIPLOMA,3,3,25
20187505,MATHSL,DIPLOMA,2,3,30
20187505,HISTHL,DIPLOMA,2,3,31
